iter	Passed	Remaining
0	134	134545
1	138	69091
2	140	46619
3	142	35519
4	145	28931
5	146	24270
6	149	21142
7	151	18724
8	153	16847
9	154	15248
10	155	14016
11	157	13000
12	159	12138
13	161	11383
14	162	10666
15	163	10084
16	165	9568
17	166	9109
18	168	8684
19	169	8297
20	170	7943
21	171	7624
22	172	7326
23	173	7052
24	174	6799
25	175	6563
26	175	6339
27	176	6132
28	177	5940
29	178	5757
30	178	5584
31	179	5421
32	179	5268
33	180	5122
34	180	4985
35	181	4855
36	181	4731
37	182	4613
38	182	4501
39	183	4394
40	183	4293
41	184	4197
42	184	4104
43	184	4017
44	185	3934
45	185	3855
46	186	3778
47	186	3703
48	187	3632
49	187	3563
50	188	3498
51	188	3435
52	188	3374
53	189	3316
54	189	3262
55	190	3209
56	190	3157
57	191	3106
58	191	3057
59	192	3010
60	192	2965
61	193	2921
62	193	2879
63	194	2837
64	194	2797
65	194	2758
66	195	2720
67	195	2683
68	196	2648
69	196	2613
70	197	2579
71	197	2546
72	197	2514
73	198	2482
74	198	2451
75	199	2422
76	199	2393
77	200	2365
78	200	2338
79	201	2312
80	201	2286
81	201	2260
82	202	2235
83	202	2211
84	203	2187
85	203	2164
86	204	2142
87	204	2120
88	204	2098
89	205	2076
90	205	2056
91	206	2035
92	206	2016
93	207	1996
94	207	1977
95	208	1958
96	208	1940
97	208	1922
98	209	1904
99	209	1887
100	210	1870
101	210	1853
102	210	1837
103	211	1821
104	211	1805
105	212	1790
106	212	1775
107	213	1760
108	213	1745
109	214	1731
110	214	1717
111	214	1704
112	215	1690
113	215	1677
114	216	1663
115	216	1650
116	217	1638
117	217	1625
118	217	1613
119	218	1600
120	218	1588
121	219	1577
122	219	1565
123	219	1554
124	220	1542
125	220	1531
126	221	1521
127	221	1510
128	222	1500
129	222	1490
130	223	1479
131	223	1469
132	223	1459
133	224	1449
134	224	1440
135	225	1430
136	225	1421
137	226	1411
138	226	1402
139	226	1394
140	227	1385
141	227	1377
142	228	1369
143	228	1360
144	229	1352
145	229	1344
146	230	1335
147	230	1327
148	231	1319
149	231	1311
150	231	1304
151	232	1296
152	232	1288
153	233	1281
154	233	1273
155	234	1266
156	234	1259
157	234	1252
158	235	1244
159	235	1237
160	236	1230
161	236	1224
162	237	1217
163	237	1210
164	237	1204
165	238	1197
166	238	1191
167	239	1185
168	239	1178
169	240	1172
170	240	1166
171	241	1160
172	241	1154
173	241	1148
174	242	1142
175	242	1136
176	243	1130
177	243	1125
178	244	1119
179	244	1114
180	245	1108
181	245	1103
182	245	1098
183	246	1092
184	246	1087
185	247	1082
186	247	1076
187	248	1071
188	248	1066
189	248	1061
190	249	1056
191	249	1051
192	250	1046
193	250	1041
194	251	1036
195	251	1031
196	251	1027
197	252	1022
198	252	1017
199	253	1012
200	253	1008
201	254	1003
202	254	999
203	255	995
204	255	990
205	255	986
206	256	981
207	256	977
208	257	973
209	257	969
210	258	965
211	258	960
212	258	956
213	259	952
214	259	948
215	260	944
216	260	940
217	261	936
218	261	932
219	262	929
220	262	925
221	262	921
222	263	917
223	263	913
224	264	909
225	264	906
226	265	902
227	265	898
228	265	895
229	266	892
230	267	888
231	267	885
232	267	882
233	268	878
234	268	875
235	269	871
236	269	868
237	270	865
238	270	862
239	271	858
240	271	855
241	272	852
242	272	849
243	273	845
244	273	842
245	273	839
246	274	836
247	274	833
248	275	829
249	275	826
250	275	823
251	276	820
252	276	817
253	277	814
254	277	811
255	278	808
256	278	805
257	279	802
258	279	799
259	279	796
260	280	793
261	280	791
262	281	788
263	281	785
264	282	782
265	282	779
266	282	776
267	283	774
268	283	771
269	284	768
270	284	765
271	285	763
272	285	760
273	286	757
274	286	755
275	286	752
276	287	750
277	287	747
278	288	744
279	288	742
280	288	739
281	289	737
282	289	734
283	290	732
284	290	729
285	291	727
286	291	724
287	292	722
288	292	719
289	293	717
290	293	714
291	293	712
292	294	710
293	294	707
294	295	705
295	295	703
296	296	700
297	296	698
298	297	696
299	297	694
300	297	691
301	298	689
302	298	687
303	299	685
304	299	682
305	300	680
306	300	678
307	301	676
308	301	674
309	301	672
310	302	669
311	302	667
312	303	665
313	303	663
314	304	661
315	304	659
316	305	657
317	305	655
318	306	653
319	306	651
320	306	649
321	307	646
322	307	644
323	308	642
324	308	640
325	308	638
326	309	636
327	309	634
328	310	632
329	310	630
330	311	628
331	311	626
332	311	624
333	312	622
334	312	621
335	313	619
336	313	617
337	314	615
338	314	613
339	315	611
340	315	609
341	315	607
342	316	606
343	316	604
344	317	602
345	318	601
346	318	599
347	319	597
348	319	596
349	319	594
350	320	592
351	320	590
352	321	588
353	321	587
354	322	585
355	322	583
356	322	581
357	323	579
358	323	578
359	324	576
360	324	574
361	325	572
362	325	571
363	325	569
364	326	567
365	326	566
366	327	564
367	327	562
368	328	561
369	328	559
370	328	557
371	329	556
372	329	554
373	330	552
374	330	551
375	331	549
376	331	548
377	332	546
378	332	544
379	333	543
380	333	541
381	333	540
382	334	538
383	334	536
384	335	535
385	335	533
386	336	532
387	336	530
388	336	529
389	337	527
390	337	526
391	338	524
392	338	523
393	339	521
394	339	520
395	340	518
396	340	517
397	340	515
398	341	514
399	341	512
400	342	511
401	342	509
402	343	508
403	343	506
404	343	505
405	344	503
406	344	502
407	345	500
408	345	499
409	346	497
410	346	496
411	346	495
412	347	493
413	347	492
414	348	490
415	348	489
416	349	488
417	349	486
418	349	485
419	350	483
420	350	482
421	351	481
422	351	479
423	352	478
424	352	476
425	352	475
426	353	474
427	353	472
428	354	471
429	354	470
430	355	468
431	355	467
432	355	466
433	356	464
434	356	463
435	357	462
436	357	460
437	358	459
438	358	458
439	358	456
440	359	455
441	359	454
442	360	453
443	360	451
444	361	450
445	361	449
446	362	448
447	362	446
448	363	445
449	363	444
450	363	442
451	364	441
452	364	440
453	365	439
454	365	437
455	366	436
456	366	435
457	366	434
458	367	433
459	367	431
460	368	430
461	368	429
462	369	428
463	369	426
464	369	425
465	370	424
466	370	423
467	371	422
468	371	420
469	372	419
470	372	418
471	372	417
472	373	416
473	373	414
474	374	413
475	374	412
476	375	411
477	375	410
478	375	408
479	376	407
480	376	406
481	377	405
482	377	404
483	378	403
484	378	401
485	378	400
486	379	399
487	379	398
488	380	397
489	380	396
490	381	395
491	381	393
492	381	392
493	382	391
494	382	390
495	383	389
496	383	388
497	384	387
498	384	386
499	385	385
500	385	383
501	385	382
502	386	381
503	386	380
504	387	379
505	387	378
506	388	377
507	388	376
508	388	375
509	389	374
510	389	373
511	390	371
512	390	370
513	391	369
514	391	368
515	391	367
516	392	366
517	392	365
518	393	364
519	393	363
520	394	362
521	394	361
522	394	360
523	395	359
524	395	358
525	396	357
526	396	355
527	397	354
528	397	353
529	397	352
530	398	351
531	398	350
532	399	349
533	399	348
534	400	347
535	400	346
536	400	345
537	401	344
538	401	343
539	402	342
540	402	341
541	403	340
542	403	339
543	404	338
544	404	337
545	404	336
546	405	335
547	405	334
548	406	333
549	406	332
550	407	331
551	407	330
552	407	329
553	408	328
554	408	327
555	409	326
556	409	325
557	410	325
558	410	324
559	411	323
560	411	322
561	412	321
562	412	320
563	412	319
564	413	318
565	413	317
566	414	316
567	414	315
568	415	314
569	415	313
570	415	312
571	416	311
572	416	310
573	417	309
574	417	308
575	418	307
576	418	306
577	418	305
578	419	304
579	419	304
580	420	303
581	420	302
582	421	301
583	421	300
584	422	299
585	422	298
586	423	297
587	423	296
588	424	295
589	424	294
590	424	294
591	425	293
592	425	292
593	426	291
594	426	290
595	427	289
596	427	288
597	428	287
598	428	286
599	429	286
600	429	285
601	429	284
602	430	283
603	430	282
604	431	281
605	431	280
606	432	279
607	432	279
608	433	278
609	433	277
610	434	276
611	434	275
612	434	274
613	435	273
614	435	272
615	436	271
616	436	271
617	437	270
618	437	269
619	438	268
620	438	267
621	438	266
622	439	265
623	439	265
624	440	264
625	440	263
626	441	262
627	441	261
628	442	260
629	442	260
630	443	259
631	443	258
632	444	257
633	444	256
634	445	255
635	445	255
636	446	254
637	446	253
638	447	252
639	447	251
640	447	250
641	448	250
642	448	249
643	449	248
644	449	247
645	450	246
646	450	245
647	450	244
648	451	244
649	451	243
650	452	242
651	452	241
652	453	240
653	453	240
654	454	239
655	454	238
656	454	237
657	455	236
658	455	235
659	456	235
660	456	234
661	457	233
662	457	232
663	458	231
664	458	231
665	459	230
666	459	229
667	459	228
668	460	227
669	460	226
670	461	226
671	461	225
672	461	224
673	462	223
674	462	222
675	463	221
676	463	221
677	463	220
678	464	219
679	464	218
680	465	217
681	465	217
682	466	216
683	466	215
684	467	214
685	467	214
686	468	213
687	468	212
688	468	211
689	469	210
690	469	210
691	470	209
692	470	208
693	471	207
694	471	206
695	472	206
696	472	205
697	472	204
698	473	203
699	473	203
700	474	202
701	474	201
702	475	200
703	475	199
704	475	199
705	476	198
706	476	197
707	477	196
708	477	196
709	477	195
710	478	194
711	478	193
712	479	192
713	479	192
714	480	191
715	480	190
716	481	189
717	481	189
718	481	188
719	482	187
720	482	186
721	483	186
722	483	185
723	484	184
724	484	183
725	484	183
726	485	182
727	485	181
728	486	180
729	486	180
730	487	179
731	487	178
732	487	177
733	488	176
734	488	176
735	489	175
736	489	174
737	490	173
738	490	173
739	490	172
740	491	171
741	491	171
742	492	170
743	492	169
744	493	168
745	493	168
746	493	167
747	494	166
748	494	165
749	495	165
750	495	164
751	496	163
752	496	162
753	497	162
754	497	161
755	497	160
756	498	159
757	498	159
758	499	158
759	499	157
760	499	157
761	500	156
762	500	155
763	501	154
764	501	154
765	502	153
766	502	152
767	503	151
768	503	151
769	504	150
770	504	149
771	504	149
772	505	148
773	505	147
774	506	146
775	506	146
776	507	145
777	507	144
778	507	144
779	508	143
780	508	142
781	509	141
782	509	141
783	510	140
784	510	139
785	510	139
786	511	138
787	511	137
788	512	136
789	512	136
790	513	135
791	513	134
792	514	134
793	514	133
794	514	132
795	515	132
796	515	131
797	516	130
798	516	129
799	516	129
800	517	128
801	517	127
802	518	127
803	518	126
804	518	125
805	519	125
806	519	124
807	520	123
808	520	122
809	521	122
810	521	121
811	522	120
812	522	120
813	522	119
814	523	118
815	523	118
816	524	117
817	524	116
818	525	116
819	525	115
820	525	114
821	526	113
822	526	113
823	527	112
824	527	111
825	528	111
826	528	110
827	528	109
828	529	109
829	529	108
830	530	107
831	530	107
832	531	106
833	531	105
834	531	105
835	532	104
836	532	103
837	533	103
838	533	102
839	534	101
840	534	101
841	534	100
842	535	99
843	535	99
844	536	98
845	536	97
846	536	96
847	537	96
848	537	95
849	538	94
850	538	94
851	539	93
852	539	92
853	539	92
854	540	91
855	540	90
856	541	90
857	541	89
858	542	89
859	542	88
860	543	87
861	543	87
862	544	86
863	544	85
864	545	85
865	545	84
866	546	83
867	546	83
868	547	82
869	547	81
870	547	81
871	548	80
872	548	79
873	549	79
874	549	78
875	550	77
876	550	77
877	551	76
878	551	75
879	551	75
880	552	74
881	552	73
882	553	73
883	553	72
884	554	71
885	554	71
886	554	70
887	555	70
888	555	69
889	556	68
890	556	68
891	557	67
892	557	66
893	558	66
894	558	65
895	558	64
896	559	64
897	559	63
898	560	62
899	560	62
900	561	61
901	561	61
902	561	60
903	562	59
904	562	59
905	563	58
906	563	57
907	564	57
908	564	56
909	565	55
910	565	55
911	565	54
912	566	53
913	566	53
914	567	52
915	567	52
916	568	51
917	568	50
918	568	50
