time,310_x
0.0,654
0.04,656
0.08,656
0.12,656
0.16,656
0.2,656
0.24,656
0.28,656
0.32,657
0.36,657
0.4,657
0.44,657
0.48,657
0.52,657
0.56,657
0.6,658
0.64,658
0.68,658
0.72,657
0.76,657
0.8,656
0.84,656
0.88,656
0.92,656
0.96,656
1.0,656
1.04,656
1.08,656
1.12,656
1.16,656
1.2,656
1.24,656
1.28,657
1.32,657
1.36,657
1.4,657
1.44,657
1.48,657
1.52,657
1.56,657
1.6,658
1.64,657
1.68,657
1.72,657
1.76,657
1.8,657
1.84,657
1.88,657
1.92,656
1.96,656
2.0,656
2.04,656
2.08,656
2.12,656
2.16,656
2.2,656
2.24,656
2.28,656
2.32,656
2.36,657
2.4,657
2.44,657
2.48,657
2.52,657
2.56,657
2.6,657
2.64,657
2.68,657
2.72,657
2.76,657
2.8,657
2.84,657
2.88,657
2.92,657
2.96,657
3.0,657
3.04,657
3.08,657
3.12,657
3.16,657
3.2,656
3.24,656
3.28,656
3.32,655
3.36,655
3.4,655
3.44,655
3.48,657
3.52,657
3.56,656
3.6,656
3.64,656
3.68,656
3.72,656
3.76,655
3.8,654
3.84,654
3.88,654
3.92,654
3.96,654
4.0,654
4.04,655
4.08,655
4.12,655
4.16,655
4.2,655
4.24,655
4.28,656
4.32,657
4.36,657
4.4,657
4.44,657
4.48,657
4.52,657
4.56,656
4.6,656
4.64,657
4.68,657
4.72,657
4.76,657
4.8,657
4.84,657
4.88,656
4.92,656
4.96,656
5.0,656
5.04,656
5.08,656
5.12,655
5.16,655
5.2,655
5.24,654
5.28,654
5.32,655
5.36,655
5.4,655
5.44,655
5.48,655
5.52,655
5.56,655
5.6,655
5.64,655
5.68,655
5.72,655
5.76,655
5.8,655
5.84,654
5.88,654
5.92,654
5.96,652
6.0,652
6.04,652
6.08,652
6.12,653
6.16,653
6.2,654
6.24,654
6.28,653
6.32,651
6.36,651
6.4,652
6.44,652
6.48,651
6.52,650
6.56,650
6.6,650
6.64,650
6.68,650
6.72,650
6.76,650
6.8,651
6.84,651
6.88,651
6.92,651
6.96,651
7.0,651
7.04,651
7.08,652
7.12,652
7.16,652
7.2,652
7.24,653
7.28,653
7.32,654
7.36,654
7.4,654
7.44,654
7.48,655
7.52,655
7.56,655
7.6,655
7.64,655
7.68,655
7.72,655
7.76,655
7.8,655
7.84,655
7.88,655
7.92,655
7.96,655
8.0,654
8.04,654
8.08,653
8.12,653
8.16,653
8.2,653
8.24,652
8.28,652
8.32,652
8.36,652
8.4,652
8.44,652
8.48,652
8.52,653
8.56,653
8.6,653
8.64,653
8.68,652
8.72,653
8.76,653
8.8,653
8.84,653
8.88,653
8.92,653
8.96,653
9.0,653
9.04,653
9.08,653
9.12,654
9.16,653
9.2,654
9.24,654
9.28,654
9.32,654
9.36,654
9.4,653
9.44,653
9.48,653
9.52,653
9.56,652
9.6,651
9.64,651
9.68,652
9.72,652
9.76,653
9.8,654
9.84,654
9.88,654
9.92,653
9.96,652
10.0,652
10.04,651
10.08,651
10.12,651
10.16,651
10.2,651
10.24,651
10.28,651
10.32,652
10.36,652
10.4,652
10.44,652
10.48,652
10.52,651
10.56,651
10.6,652
10.64,652
10.68,651
10.72,652
10.76,652
10.8,653
10.84,653
10.88,653
10.92,653
10.96,653
11.0,654
11.04,654
11.08,654
11.12,653
11.16,653
11.2,654
11.24,653
11.28,653
11.32,653
11.36,653
11.4,653
11.44,654
11.48,655
11.52,655
11.56,655
11.6,655
11.64,655
11.68,655
11.72,655
11.76,655
11.8,654
11.84,654
11.88,654
11.92,654
11.96,653
12.0,653
12.04,653
12.08,653
12.12,652
12.16,652
12.2,652
12.24,652
12.28,652
12.32,652
12.36,652
12.4,652
12.44,652
12.48,652
12.52,652
12.56,653
12.6,653
12.64,654
12.68,654
12.72,655
12.76,655
12.8,656
12.84,656
12.88,656
12.92,656
12.96,655
13.0,653
13.04,651
13.08,649
13.12,647
13.16,646
13.2,646
13.24,645
13.28,645
13.32,644
13.36,643
13.4,642
13.44,642
13.48,642
13.52,642
13.56,642
13.6,643
13.64,643
13.68,643
13.72,644
13.76,643
13.8,643
13.84,644
13.88,643
13.92,642
13.96,643
14.0,646
14.04,650
14.08,651
14.12,653
14.16,655
14.2,656
14.24,655
14.28,657
14.32,658
14.36,659
14.4,660
14.44,660
14.48,661
14.52,661
14.56,660
14.6,659
14.64,659
14.68,658
14.72,656
14.76,656
14.8,657
14.84,656
14.88,654
14.92,656
14.96,655
15.0,654
15.04,652
15.08,652
15.12,652
15.16,653
15.2,653
15.24,653
15.28,654
15.32,653
15.36,651
15.4,651
15.44,650
15.48,651
15.52,651
15.56,651
15.6,651
15.64,649
15.68,650
15.72,650
15.76,651
15.8,652
15.84,653
15.88,654
15.92,654
15.96,655
16.0,655
16.04,655
16.08,654
16.12,654
16.16,653
16.2,653
16.24,653
16.28,652
16.32,653
16.36,653
16.4,653
16.44,653
16.48,653
16.52,652
16.56,652
16.6,652
16.64,652
16.68,652
16.72,652
16.76,652
16.8,652
16.84,652
16.88,652
16.92,652
16.96,652
17.0,652
17.04,652
17.08,652
17.12,652
17.16,652
17.2,651
17.24,651
17.28,651
17.32,650
17.36,651
17.4,650
17.44,651
17.48,651
17.52,651
17.56,651
17.6,651
17.64,652
17.68,651
17.72,651
17.76,649
17.8,651
17.84,653
17.88,654
17.92,655
17.96,657
18.0,658
18.04,657
18.08,656
18.12,656
18.16,656
18.2,655
18.24,656
18.28,657
18.32,656
18.36,656
18.4,656
18.44,656
18.48,655
18.52,653
18.56,653
18.6,653
18.64,653
18.68,652
18.72,651
18.76,650
18.8,648
18.84,647
18.88,646
18.92,645
18.96,644
19.0,645
19.04,646
19.08,645
19.12,644
19.16,645
19.2,646
19.24,646
19.28,646
19.32,646
19.36,647
19.4,646
19.44,646
19.48,645
19.52,644
19.56,642
19.6,641
19.64,640
19.68,642
19.72,642
19.76,644
19.8,644
19.84,643
19.88,642
19.92,642
19.96,640
20.0,640
20.04,640
20.08,641
20.12,641
20.16,643
20.2,642
20.24,643
20.28,644
20.32,644
20.36,645
20.4,648
20.44,648
20.48,648
20.52,649
20.56,649
20.6,649
20.64,649
20.68,648
20.72,647
20.76,646
20.8,645
20.84,645
20.88,645
20.92,647
20.96,648
21.0,649
21.04,649
21.08,648
21.12,648
21.16,649
21.2,649
21.24,650
21.28,650
21.32,650
21.36,650
21.4,650
21.44,650
21.48,650
21.52,650
21.56,651
21.6,651
21.64,651
21.68,651
21.72,651
21.76,651
21.8,650
21.84,650
21.88,650
21.92,650
21.96,650
22.0,650
22.04,650
22.08,649
22.12,649
22.16,649
22.2,649
22.24,649
22.28,649
22.32,649
22.36,649
22.4,649
22.44,649
22.48,649
22.52,649
22.56,650
