time,40_y
0.0,315
0.04,314
0.08,314
0.12,314
0.16,313
0.2,314
0.24,314
0.28,314
0.32,314
0.36,314
0.4,314
0.44,314
0.48,314
0.52,314
0.56,313
0.6,313
0.64,312
0.68,312
0.72,312
0.76,311
0.8,311
0.84,311
0.88,310
0.92,310
0.96,310
1.0,310
1.04,311
1.08,312
1.12,312
1.16,312
1.2,312
1.24,312
1.28,312
1.32,312
1.36,312
1.4,312
1.44,312
1.48,312
1.52,313
1.56,313
1.6,313
1.64,313
1.68,314
1.72,314
1.76,314
1.8,314
1.84,314
1.88,314
1.92,314
1.96,314
2.0,314
2.04,314
2.08,314
2.12,314
2.16,314
2.2,314
2.24,315
2.28,315
2.32,315
2.36,315
2.4,315
2.44,315
2.48,315
2.52,315
2.56,315
2.6,315
2.64,315
2.68,315
2.72,315
2.76,315
2.8,315
2.84,315
2.88,315
2.92,315
2.96,315
3.0,315
3.04,315
3.08,315
3.12,315
3.16,315
3.2,315
3.24,315
3.28,315
3.32,315
3.36,315
3.4,315
3.44,316
3.48,317
3.52,318
3.56,319
3.6,320
3.64,321
3.68,321
3.72,321
3.76,320
3.8,320
3.84,320
3.88,321
3.92,321
3.96,321
4.0,320
4.04,320
4.08,320
4.12,320
4.16,320
4.2,320
4.24,320
4.28,320
4.32,320
4.36,320
4.4,320
4.44,320
4.48,320
4.52,320
4.56,320
4.6,320
4.64,321
4.68,321
4.72,321
4.76,321
4.8,321
4.84,321
4.88,321
4.92,321
4.96,321
5.0,321
5.04,321
5.08,321
5.12,321
5.16,321
5.2,321
5.24,321
5.28,321
5.32,321
5.36,321
5.4,321
5.44,321
5.48,321
5.52,321
5.56,321
5.6,321
5.64,321
5.68,321
5.72,320
5.76,320
5.8,320
5.84,320
5.88,320
5.92,321
5.96,320
6.0,319
6.04,317
6.08,317
6.12,320
6.16,324
6.2,328
6.24,328
6.28,327
6.32,325
6.36,323
6.4,323
6.44,323
6.48,323
6.52,323
6.56,323
6.6,323
6.64,323
6.68,324
6.72,324
6.76,325
6.8,325
6.84,325
6.88,325
6.92,325
6.96,325
7.0,325
7.04,325
7.08,325
7.12,325
7.16,326
7.2,326
7.24,326
7.28,326
7.32,326
7.36,326
7.4,326
7.44,326
7.48,325
7.52,325
7.56,325
7.6,325
7.64,325
7.68,325
7.72,325
7.76,325
7.8,325
7.84,325
7.88,324
7.92,325
7.96,324
8.0,325
8.04,324
8.08,324
8.12,324
8.16,323
8.2,323
8.24,323
8.28,323
8.32,323
8.36,323
8.4,323
8.44,323
8.48,323
8.52,323
8.56,323
8.6,323
8.64,323
8.68,322
8.72,322
8.76,322
8.8,322
8.84,322
8.88,322
8.92,322
8.96,322
9.0,322
9.04,321
9.08,321
9.12,320
9.16,319
9.2,318
9.24,316
9.28,316
9.32,315
9.36,316
9.4,317
9.44,317
9.48,318
9.52,319
9.56,319
9.6,321
9.64,320
9.68,320
9.72,322
9.76,325
9.8,325
9.84,325
9.88,325
9.92,324
9.96,324
10.0,325
10.04,325
10.08,326
10.12,326
10.16,326
10.2,326
10.24,327
10.28,327
10.32,328
10.36,328
10.4,327
10.44,328
10.48,328
10.52,328
10.56,328
10.6,329
10.64,328
10.68,327
10.72,326
10.76,326
10.8,325
10.84,325
10.88,324
10.92,323
10.96,323
11.0,322
11.04,322
11.08,322
11.12,323
11.16,323
11.2,323
11.24,323
11.28,322
11.32,322
11.36,322
11.4,322
11.44,322
11.48,322
11.52,322
11.56,321
11.6,321
11.64,321
11.68,322
11.72,322
11.76,322
11.8,322
11.84,322
11.88,322
11.92,322
11.96,321
12.0,321
12.04,321
12.08,320
12.12,319
12.16,319
12.2,318
12.24,317
12.28,317
12.32,317
12.36,317
12.4,317
12.44,317
12.48,317
12.52,317
12.56,318
12.6,318
12.64,319
12.68,319
12.72,319
12.76,319
12.8,318
12.84,317
12.88,316
12.92,314
12.96,312
13.0,311
13.04,310
13.08,310
13.12,309
13.16,309
13.2,310
