time,14_x,14_y
0.0,637,319
0.04,638,318
0.08,639,318
0.12,638,318
0.16,638,318
0.2,638,318
0.24,638,318
0.28,638,318
0.32,639,318
0.36,639,318
0.4,639,318
0.44,639,318
0.48,639,318
0.52,639,318
0.56,639,317
0.6,639,317
0.64,640,317
0.68,640,317
0.72,639,317
0.76,639,316
0.8,638,316
0.84,638,315
0.88,638,315
0.92,638,315
0.96,638,315
1.0,638,315
1.04,638,315
1.08,638,316
1.12,638,316
1.16,638,316
1.2,638,316
1.24,638,316
1.28,639,316
1.32,639,316
1.36,639,316
1.4,639,317
1.44,639,316
1.48,639,317
1.52,639,317
1.56,639,317
1.6,639,317
1.64,639,317
1.68,639,318
1.72,639,318
1.76,639,318
1.8,639,318
1.84,639,318
1.88,639,318
1.92,638,318
1.96,638,318
2.0,638,318
2.04,638,318
2.08,638,318
2.12,638,318
2.16,638,318
2.2,638,318
2.24,638,318
2.28,638,318
2.32,638,319
2.36,639,319
2.4,639,319
2.44,639,319
2.48,639,319
2.52,639,319
2.56,639,319
2.6,639,319
2.64,639,319
2.68,639,318
2.72,639,318
2.76,639,318
2.8,639,318
2.84,639,318
2.88,639,318
2.92,639,319
2.96,639,319
3.0,639,319
3.04,639,319
3.08,639,319
3.12,639,318
3.16,639,319
3.2,639,319
3.24,639,319
3.28,639,320
3.32,639,324
3.36,639,327
3.4,638,326
3.44,638,324
3.48,639,322
3.52,639,323
3.56,638,324
3.6,638,325
3.64,638,326
3.68,638,326
3.72,638,326
3.76,637,325
3.8,637,327
3.84,637,328
3.88,637,328
3.92,637,327
3.96,637,327
4.0,637,326
4.04,637,326
4.08,637,326
4.12,637,326
4.16,637,326
4.2,637,326
4.24,638,325
4.28,639,324
4.32,639,324
4.36,639,324
4.4,639,323
4.44,639,323
4.48,639,324
4.52,639,324
4.56,639,324
4.6,639,324
4.64,639,324
4.68,639,324
4.72,639,324
4.76,639,324
4.8,639,324
4.84,639,324
4.88,639,324
4.92,639,324
4.96,638,324
5.0,638,324
5.04,638,324
5.08,638,324
5.12,638,324
5.16,637,324
5.2,637,324
5.24,637,324
5.28,637,324
5.32,637,324
5.36,637,324
5.4,637,324
5.44,637,324
5.48,637,324
5.52,637,324
5.56,637,324
5.6,637,324
5.64,637,324
5.68,637,324
5.72,637,323
5.76,637,323
5.8,637,323
5.84,637,324
5.88,637,324
5.92,636,325
5.96,636,328
6.0,636,328
6.04,636,327
6.08,636,327
6.12,637,330
6.16,637,332
6.2,637,333
6.24,637,334
6.28,636,333
6.32,635,333
6.36,634,331
6.4,634,331
6.44,634,331
6.48,633,332
6.52,632,332
6.56,632,333
