time,0_x,13_x,14_x,17_x,37_x,0_y,13_y,14_y,17_y,37_y
0.0,637,637,637,637,628,310,319,319,331,309
0.04,638,638,638,639,629,309,317,318,331,308
0.08,638,638,639,639,629,309,318,318,331,308
0.12,638,638,638,639,629,309,317,318,331,308
0.16,638,638,638,639,629,308,317,318,330,307
0.2,638,638,638,639,629,308,317,318,330,307
0.24,638,638,638,639,629,308,317,318,330,307
0.28,638,638,638,639,629,309,317,318,330,307
0.32,638,638,639,639,629,309,317,318,330,307
0.36,638,639,639,639,629,309,317,318,330,307
0.4,639,639,639,640,630,309,317,318,330,307
0.44,639,639,639,640,630,309,317,318,331,308
0.48,639,639,639,640,630,309,317,318,330,308
0.52,639,639,639,640,630,309,317,318,331,307
0.56,639,639,639,640,630,308,317,317,330,307
0.6,639,639,639,640,630,308,316,317,330,306
0.64,639,639,640,640,630,307,316,317,329,306
0.68,639,639,640,640,630,306,315,317,330,305
0.72,638,638,639,639,629,307,316,317,330,306
0.76,639,639,639,640,629,306,315,316,329,305
0.8,638,638,638,639,629,306,314,316,328,304
0.84,638,638,638,639,629,305,314,315,328,304
0.88,638,638,638,639,628,305,314,315,328,304
0.92,637,637,638,638,628,305,314,315,328,304
0.96,638,638,638,639,628,305,314,315,328,304
1.0,637,637,638,638,628,305,314,315,328,304
1.04,637,637,638,638,628,305,314,315,328,304
1.08,637,637,638,638,628,306,315,316,329,305
1.12,637,638,638,639,628,306,315,316,329,305
1.16,637,638,638,639,628,307,315,316,329,305
1.2,638,638,638,639,629,307,315,316,329,305
1.24,637,638,638,639,628,306,315,316,329,305
1.28,638,639,639,639,629,306,315,316,329,305
1.32,638,638,639,639,629,307,315,316,329,306
1.36,638,639,639,640,629,307,316,316,329,306
1.4,638,639,639,640,629,307,316,317,329,306
1.44,639,639,639,640,630,307,316,316,329,306
1.48,638,639,639,640,629,307,316,317,330,306
1.52,639,639,639,640,630,307,316,317,329,306
1.56,639,639,639,640,630,308,316,317,330,307
1.6,639,639,639,640,630,308,316,317,329,307
1.64,638,639,639,640,630,308,317,317,330,307
1.68,638,639,639,640,629,309,317,318,331,308
1.72,638,639,639,640,629,309,318,318,331,308
1.76,638,638,639,640,629,309,318,318,331,308
1.8,638,638,639,639,629,309,318,318,331,308
1.84,638,638,639,639,629,309,318,318,331,308
1.88,638,638,639,639,629,309,318,318,331,308
1.92,637,638,638,639,628,309,318,318,331,308
1.96,637,638,638,639,628,309,318,318,331,308
2.0,637,638,638,639,628,309,318,318,331,308
2.04,637,637,638,639,628,309,318,318,331,308
2.08,637,637,638,638,628,309,318,318,331,308
2.12,637,637,638,638,628,309,318,318,331,308
2.16,637,637,638,638,628,309,318,318,331,308
2.2,637,637,638,639,628,309,318,318,331,308
2.24,637,637,638,639,628,309,318,318,331,308
2.28,637,638,638,639,628,309,318,318,331,308
2.32,637,638,638,639,629,310,318,319,331,308
2.36,638,638,639,639,629,310,318,319,331,309
2.4,638,638,639,640,629,310,318,319,331,309
2.44,638,638,639,640,629,310,318,319,331,308
2.48,638,638,639,640,629,310,318,319,331,309
2.52,638,638,639,640,629,309,318,319,331,308
2.56,638,638,639,640,629,309,318,319,331,308
2.6,638,638,639,640,629,309,318,319,331,308
2.64,638,638,639,639,629,309,318,319,331,308
2.68,638,638,639,639,629,309,318,318,331,308
2.72,638,638,639,640,629,309,318,318,331,308
2.76,638,638,639,640,629,309,318,318,331,308
2.8,638,638,639,640,629,309,318,318,331,308
2.84,638,638,639,640,629,309,318,318,331,308
2.88,638,638,639,640,629,309,318,318,331,308
2.92,638,639,639,640,629,309,318,319,331,308
2.96,638,638,639,640,629,309,318,319,331,308
3.0,638,639,639,640,629,309,318,319,331,308
3.04,638,638,639,640,629,309,318,319,331,308
3.08,638,638,639,640,629,309,318,319,331,308
3.12,638,638,639,640,629,309,318,318,331,308
3.16,638,638,639,640,629,309,318,319,331,308
3.2,638,638,639,640,629,309,318,319,331,308
3.24,638,638,639,639,629,309,318,319,332,308
3.28,638,638,639,639,629,309,318,320,334,308
3.32,638,638,639,639,629,308,318,324,339,307
3.36,638,638,639,639,628,308,318,327,343,307
3.4,637,638,638,639,628,308,318,326,342,307
3.44,637,637,638,639,628,310,320,324,338,309
3.48,638,639,639,640,629,312,321,322,335,311
3.52,638,639,639,640,629,313,322,323,337,312
3.56,637,638,638,639,628,314,323,324,338,313
3.6,637,638,638,639,628,315,324,325,338,313
3.64,637,638,638,639,628,316,325,326,339,315
3.68,636,637,638,639,627,316,325,326,339,315
3.72,637,637,638,639,628,316,325,326,339,315
3.76,636,636,637,638,627,315,324,325,339,314
3.8,635,636,637,638,626,315,324,327,342,314
3.84,636,636,637,638,627,315,325,328,342,314
3.88,636,636,637,638,626,316,325,328,342,315
3.92,636,636,637,638,626,316,325,327,341,315
3.96,636,636,637,638,627,316,325,327,341,315
4.0,635,636,637,638,626,315,324,326,340,314
4.04,636,636,637,638,627,316,324,326,340,314
4.08,636,637,637,638,627,315,324,326,340,314
4.12,636,637,637,638,627,315,324,326,339,314
4.16,636,637,637,639,627,315,324,326,339,314
4.2,636,637,637,638,627,315,324,326,339,314
4.24,637,638,638,639,628,315,323,325,338,314
4.28,638,638,639,640,629,315,323,324,337,314
