time,0_x,13_x,14_x,17_x,37_x
0.0,637,637,637,637,628
0.04,638,638,638,639,629
0.08,638,638,639,639,629
0.12,638,638,638,639,629
0.16,638,638,638,639,629
0.2,638,638,638,639,629
0.24,638,638,638,639,629
0.28,638,638,638,639,629
0.32,638,638,639,639,629
0.36,638,639,639,639,629
0.4,639,639,639,640,630
0.44,639,639,639,640,630
0.48,639,639,639,640,630
0.52,639,639,639,640,630
0.56,639,639,639,640,630
0.6,639,639,639,640,630
0.64,639,639,640,640,630
0.68,639,639,640,640,630
0.72,638,638,639,639,629
0.76,639,639,639,640,629
0.8,638,638,638,639,629
0.84,638,638,638,639,629
0.88,638,638,638,639,628
0.92,637,637,638,638,628
0.96,638,638,638,639,628
1.0,637,637,638,638,628
1.04,637,637,638,638,628
1.08,637,637,638,638,628
1.12,637,638,638,639,628
1.16,637,638,638,639,628
1.2,638,638,638,639,629
1.24,637,638,638,639,628
1.28,638,639,639,639,629
1.32,638,638,639,639,629
1.36,638,639,639,640,629
1.4,638,639,639,640,629
1.44,639,639,639,640,630
1.48,638,639,639,640,629
1.52,639,639,639,640,630
1.56,639,639,639,640,630
1.6,639,639,639,640,630
1.64,638,639,639,640,630
1.68,638,639,639,640,629
1.72,638,639,639,640,629
1.76,638,638,639,640,629
1.8,638,638,639,639,629
1.84,638,638,639,639,629
1.88,638,638,639,639,629
1.92,637,638,638,639,628
1.96,637,638,638,639,628
2.0,637,638,638,639,628
2.04,637,637,638,639,628
2.08,637,637,638,638,628
2.12,637,637,638,638,628
2.16,637,637,638,638,628
2.2,637,637,638,639,628
2.24,637,637,638,639,628
2.28,637,638,638,639,628
2.32,637,638,638,639,629
2.36,638,638,639,639,629
2.4,638,638,639,640,629
2.44,638,638,639,640,629
2.48,638,638,639,640,629
2.52,638,638,639,640,629
2.56,638,638,639,640,629
2.6,638,638,639,640,629
2.64,638,638,639,639,629
2.68,638,638,639,639,629
2.72,638,638,639,640,629
2.76,638,638,639,640,629
2.8,638,638,639,640,629
2.84,638,638,639,640,629
2.88,638,638,639,640,629
2.92,638,639,639,640,629
2.96,638,638,639,640,629
3.0,638,639,639,640,629
3.04,638,638,639,640,629
3.08,638,638,639,640,629
3.12,638,638,639,640,629
3.16,638,638,639,640,629
3.2,638,638,639,640,629
3.24,638,638,639,639,629
3.28,638,638,639,639,629
3.32,638,638,639,639,629
3.36,638,638,639,639,628
3.4,637,638,638,639,628
3.44,637,637,638,639,628
3.48,638,639,639,640,629
3.52,638,639,639,640,629
3.56,637,638,638,639,628
3.6,637,638,638,639,628
3.64,637,638,638,639,628
3.68,636,637,638,639,627
3.72,637,637,638,639,628
3.76,636,636,637,638,627
3.8,635,636,637,638,626
3.84,636,636,637,638,627
3.88,636,636,637,638,626
3.92,636,636,637,638,626
3.96,636,636,637,638,627
4.0,635,636,637,638,626
4.04,636,636,637,638,627
4.08,636,637,637,638,627
4.12,636,637,637,638,627
4.16,636,637,637,639,627
4.2,636,637,637,638,627
4.24,637,638,638,639,628
4.28,638,638,639,640,629
4.32,638,639,639,640,629
4.36,638,639,639,640,629
4.4,638,639,639,640,629
