time,0_y,13_y,14_y,17_y,37_y
0.0,310,319,319,331,309
0.04,309,317,318,331,308
0.08,309,318,318,331,308
0.12,309,317,318,331,308
0.16,308,317,318,330,307
0.2,308,317,318,330,307
0.24,308,317,318,330,307
0.28,309,317,318,330,307
0.32,309,317,318,330,307
0.36,309,317,318,330,307
0.4,309,317,318,330,307
0.44,309,317,318,331,308
0.48,309,317,318,330,308
0.52,309,317,318,331,307
0.56,308,317,317,330,307
0.6,308,316,317,330,306
0.64,307,316,317,329,306
0.68,306,315,317,330,305
0.72,307,316,317,330,306
0.76,306,315,316,329,305
0.8,306,314,316,328,304
0.84,305,314,315,328,304
0.88,305,314,315,328,304
0.92,305,314,315,328,304
0.96,305,314,315,328,304
1.0,305,314,315,328,304
1.04,305,314,315,328,304
1.08,306,315,316,329,305
1.12,306,315,316,329,305
1.16,307,315,316,329,305
1.2,307,315,316,329,305
1.24,306,315,316,329,305
1.28,306,315,316,329,305
1.32,307,315,316,329,306
1.36,307,316,316,329,306
1.4,307,316,317,329,306
1.44,307,316,316,329,306
1.48,307,316,317,330,306
1.52,307,316,317,329,306
1.56,308,316,317,330,307
1.6,308,316,317,329,307
1.64,308,317,317,330,307
1.68,309,317,318,331,308
1.72,309,318,318,331,308
1.76,309,318,318,331,308
1.8,309,318,318,331,308
1.84,309,318,318,331,308
1.88,309,318,318,331,308
1.92,309,318,318,331,308
1.96,309,318,318,331,308
2.0,309,318,318,331,308
2.04,309,318,318,331,308
2.08,309,318,318,331,308
2.12,309,318,318,331,308
2.16,309,318,318,331,308
2.2,309,318,318,331,308
2.24,309,318,318,331,308
2.28,309,318,318,331,308
2.32,310,318,319,331,308
2.36,310,318,319,331,309
2.4,310,318,319,331,309
2.44,310,318,319,331,308
2.48,310,318,319,331,309
2.52,309,318,319,331,308
2.56,309,318,319,331,308
2.6,309,318,319,331,308
2.64,309,318,319,331,308
2.68,309,318,318,331,308
2.72,309,318,318,331,308
2.76,309,318,318,331,308
2.8,309,318,318,331,308
2.84,309,318,318,331,308
2.88,309,318,318,331,308
2.92,309,318,319,331,308
2.96,309,318,319,331,308
3.0,309,318,319,331,308
3.04,309,318,319,331,308
3.08,309,318,319,331,308
3.12,309,318,318,331,308
3.16,309,318,319,331,308
3.2,309,318,319,331,308
3.24,309,318,319,332,308
3.28,309,318,320,334,308
3.32,308,318,324,339,307
3.36,308,318,327,343,307
3.4,308,318,326,342,307
3.44,310,320,324,338,309
3.48,312,321,322,335,311
3.52,313,322,323,337,312
3.56,314,323,324,338,313
3.6,315,324,325,338,313
3.64,316,325,326,339,315
3.68,316,325,326,339,315
3.72,316,325,326,339,315
3.76,315,324,325,339,314
3.8,315,324,327,342,314
3.84,315,325,328,342,314
3.88,316,325,328,342,315
3.92,316,325,327,341,315
3.96,316,325,327,341,315
4.0,315,324,326,340,314
4.04,316,324,326,340,314
4.08,315,324,326,340,314
4.12,315,324,326,339,314
4.16,315,324,326,339,314
4.2,315,324,326,339,314
4.24,315,323,325,338,314
4.28,315,323,324,337,314
4.32,315,323,324,336,314
4.36,315,323,324,336,314
4.4,315,323,323,336,314
4.44,315,323,323,336,314
4.48,315,323,324,336,314
4.52,315,323,324,336,314
4.56,315,323,324,336,314
4.6,315,323,324,336,314
4.64,315,324,324,336,314
4.68,315,324,324,336,314
4.72,315,324,324,336,314
4.76,315,324,324,336,314
4.8,315,324,324,337,314
4.84,315,324,324,337,315
4.88,315,324,324,337,315
4.92,315,324,324,337,314
4.96,315,324,324,336,314
5.0,315,324,324,336,314
5.04,315,324,324,336,314
5.08,315,324,324,336,314
5.12,315,323,324,336,314
5.16,315,324,324,337,314
5.2,315,324,324,337,314
5.24,315,324,324,337,314
5.28,315,324,324,337,314
5.32,315,324,324,337,314
5.36,315,324,324,337,314
5.4,315,324,324,337,314
5.44,315,324,324,337,315
5.48,315,324,324,337,315
5.52,315,324,324,337,315
5.56,315,324,324,337,315
5.6,315,324,324,337,315
5.64,315,324,324,336,314
5.68,315,323,324,336,314
5.72,315,323,323,336,314
5.76,315,323,323,336,314
5.8,315,323,323,336,314
5.84,315,323,324,336,314
5.88,314,323,324,337,314
5.92,314,323,325,339,314
5.96,313,323,328,343,312
6.0,312,322,328,343,311
6.04,311,321,327,342,310
6.08,311,321,327,342,310
6.12,313,323,330,345,313
6.16,317,327,332,347,316
6.2,322,331,333,347,321
6.24,323,332,334,347,322
6.28,322,331,333,347,321
6.32,319,329,333,348,318
6.36,318,328,331,345,317
6.4,319,328,331,345,318
6.44,320,328,331,345,319
6.48,320,328,332,346,319
6.52,319,328,332,347,318
6.56,319,328,333,348,318
6.6,319,328,334,349,318
6.64,319,328,334,349,318
6.68,320,329,334,348,319
6.72,320,329,334,349,319
6.76,321,330,334,349,319
6.8,322,330,333,348,320
6.84,322,330,333,347,320
6.88,321,330,333,347,320
6.92,322,330,333,346,320
6.96,321,330,332,346,320
7.0,321,330,332,346,320
7.04,321,330,332,345,320
7.08,321,330,332,345,320
7.12,321,329,331,345,320
7.16,321,329,331,345,320
7.2,321,329,331,345,320
7.24,321,329,331,345,320
7.28,321,329,331,344,320
7.32,320,329,330,343,319
7.36,320,329,330,343,319
7.4,320,329,330,343,319
7.44,320,329,330,343,319
7.48,320,328,329,342,319
7.52,319,328,329,342,318
7.56,319,328,329,342,318
7.6,319,328,329,341,318
7.64,319,328,329,341,318
7.68,319,328,329,341,318
7.72,319,328,328,341,318
7.76,319,328,328,341,318
7.8,319,328,328,341,318
7.84,319,328,328,341,318
7.88,319,328,328,341,318
7.92,319,328,328,341,318
7.96,319,327,328,341,318
8.0,319,328,329,342,318
8.04,319,327,328,341,318
8.08,318,327,328,341,317
8.12,318,327,328,341,317
8.16,318,326,328,340,317
8.2,317,326,327,340,316
8.24,317,326,327,340,316
8.28,317,326,327,340,316
8.32,317,326,327,340,316
8.36,317,326,327,340,316
8.4,317,326,327,340,316
8.44,317,326,327,340,316
8.48,317,326,327,340,316
8.52,317,326,327,340,316
8.56,317,326,327,340,316
8.6,317,326,327,340,316
8.64,317,326,327,340,316
8.68,317,326,327,340,316
8.72,317,326,327,340,316
8.76,317,325,327,340,316
8.8,316,325,327,340,316
8.84,316,325,326,339,315
8.88,316,325,326,339,315
8.92,316,325,326,339,315
8.96,316,325,326,339,315
9.0,316,325,326,340,315
9.04,316,325,326,340,315
9.08,315,324,326,340,314
9.12,315,324,326,340,314
9.16,314,323,326,340,312
9.2,312,322,325,340,311
9.24,310,320,326,340,309
9.28,310,320,327,342,308
9.32,309,319,328,344,308
9.36,311,321,328,343,309
9.4,311,321,327,342,310
9.44,312,321,326,341,311
9.48,312,322,328,343,311
9.52,313,323,332,347,312
9.56,313,323,335,350,312
9.6,315,325,333,349,314
9.64,314,324,334,349,313
9.68,314,324,337,352,313
9.72,316,326,341,356,315
9.76,319,329,342,357,318
9.8,320,329,341,356,319
9.84,321,330,338,353,320
9.88,320,329,334,349,319
9.92,320,329,331,344,319
9.96,320,328,330,344,319
10.0,321,329,332,345,320
10.04,322,331,335,350,320
10.08,322,331,338,353,321
10.12,322,331,336,351,321
10.16,323,331,335,350,321
10.2,323,332,336,350,322
10.24,324,332,336,351,322
10.28,324,333,337,351,323
10.32,324,333,337,351,323
10.36,325,333,338,352,323
10.4,324,333,338,353,322
10.44,324,333,339,353,323
10.48,324,333,338,353,322
10.52,323,333,338,353,322
10.56,325,334,337,352,323
10.6,325,333,335,348,324
10.64,324,333,334,347,323
10.68,324,332,333,346,322
10.72,323,331,332,345,322
10.76,322,331,331,344,321
10.8,322,330,331,344,321
10.84,322,330,330,343,321
10.88,321,329,330,342,320
10.92,321,329,329,342,320
10.96,320,328,329,342,319
11.0,320,328,329,342,319
11.04,320,328,329,341,319
11.08,320,328,329,341,319
11.12,320,328,329,342,319
11.16,319,327,328,341,318
11.2,318,327,328,341,317
11.24,318,326,327,340,317
11.28,318,326,327,340,317
11.32,317,326,327,339,316
11.36,317,326,327,339,316
11.4,317,325,326,339,316
11.44,317,325,326,339,316
11.48,317,325,326,339,316
11.52,317,325,326,338,316
11.56,316,325,326,338,315
11.6,316,325,326,338,315
11.64,316,325,326,338,315
11.68,317,325,326,339,316
11.72,317,325,326,339,316
11.76,317,325,327,340,316
11.8,317,325,327,340,316
11.84,317,325,326,339,316
11.88,317,325,326,339,316
