time,17_y
0.0,331
0.04,331
0.08,331
0.12,331
0.16,330
0.2,330
0.24,330
0.28,330
0.32,330
0.36,330
0.4,330
0.44,331
0.48,330
0.52,331
0.56,330
0.6,330
0.64,329
0.68,330
0.72,330
0.76,329
0.8,328
0.84,328
0.88,328
0.92,328
0.96,328
1.0,328
1.04,328
1.08,329
1.12,329
1.16,329
1.2,329
1.24,329
1.28,329
1.32,329
1.36,329
1.4,329
1.44,329
1.48,330
1.52,329
1.56,330
1.6,329
1.64,330
1.68,331
1.72,331
1.76,331
1.8,331
1.84,331
1.88,331
1.92,331
1.96,331
2.0,331
2.04,331
2.08,331
2.12,331
2.16,331
2.2,331
2.24,331
2.28,331
2.32,331
2.36,331
2.4,331
2.44,331
2.48,331
2.52,331
2.56,331
2.6,331
2.64,331
2.68,331
2.72,331
2.76,331
2.8,331
2.84,331
2.88,331
2.92,331
2.96,331
3.0,331
3.04,331
3.08,331
3.12,331
3.16,331
3.2,331
3.24,332
3.28,334
3.32,339
3.36,343
3.4,342
3.44,338
3.48,335
3.52,337
3.56,338
3.6,338
3.64,339
3.68,339
3.72,339
3.76,339
3.8,342
3.84,342
3.88,342
3.92,341
3.96,341
4.0,340
4.04,340
4.08,340
4.12,339
4.16,339
4.2,339
4.24,338
4.28,337
4.32,336
4.36,336
4.4,336
4.44,336
4.48,336
4.52,336
4.56,336
4.6,336
4.64,336
4.68,336
4.72,336
4.76,336
4.8,337
4.84,337
4.88,337
4.92,337
4.96,336
5.0,336
5.04,336
5.08,336
5.12,336
5.16,337
5.2,337
5.24,337
5.28,337
5.32,337
5.36,337
5.4,337
5.44,337
5.48,337
5.52,337
5.56,337
5.6,337
5.64,336
5.68,336
5.72,336
5.76,336
5.8,336
5.84,336
5.88,337
5.92,339
5.96,343
6.0,343
6.04,342
6.08,342
6.12,345
6.16,347
6.2,347
6.24,347
6.28,347
6.32,348
6.36,345
6.4,345
6.44,345
6.48,346
6.52,347
6.56,348
6.6,349
6.64,349
6.68,348
6.72,349
6.76,349
6.8,348
6.84,347
6.88,347
6.92,346
6.96,346
7.0,346
7.04,345
7.08,345
7.12,345
7.16,345
7.2,345
7.24,345
7.28,344
7.32,343
7.36,343
7.4,343
7.44,343
7.48,342
7.52,342
7.56,342
7.6,341
7.64,341
7.68,341
7.72,341
7.76,341
7.8,341
7.84,341
7.88,341
7.92,341
7.96,341
8.0,342
8.04,341
8.08,341
8.12,341
8.16,340
8.2,340
8.24,340
8.28,340
8.32,340
8.36,340
8.4,340
8.44,340
8.48,340
8.52,340
8.56,340
8.6,340
8.64,340
8.68,340
8.72,340
8.76,340
8.8,340
8.84,339
8.88,339
8.92,339
8.96,339
9.0,340
9.04,340
9.08,340
9.12,340
9.16,340
9.2,340
9.24,340
9.28,342
9.32,344
9.36,343
9.4,342
9.44,341
9.48,343
9.52,347
9.56,350
9.6,349
9.64,349
9.68,352
9.72,356
9.76,357
9.8,356
9.84,353
9.88,349
9.92,344
9.96,344
10.0,345
10.04,350
10.08,353
10.12,351
10.16,350
10.2,350
10.24,351
10.28,351
10.32,351
10.36,352
10.4,353
10.44,353
10.48,353
10.52,353
10.56,352
10.6,348
10.64,347
10.68,346
10.72,345
10.76,344
10.8,344
10.84,343
10.88,342
10.92,342
10.96,342
11.0,342
11.04,341
11.08,341
11.12,342
11.16,341
11.2,341
11.24,340
11.28,340
11.32,339
11.36,339
11.4,339
11.44,339
11.48,339
11.52,338
11.56,338
11.6,338
11.64,338
11.68,339
11.72,339
11.76,340
11.8,340
11.84,339
11.88,339
11.92,339
11.96,339
12.0,338
12.04,338
12.08,337
12.12,336
12.16,336
12.2,334
12.24,334
12.28,334
12.32,334
12.36,334
12.4,334
12.44,334
12.48,334
12.52,334
12.56,335
12.6,335
12.64,336
12.68,336
12.72,336
12.76,336
12.8,335
12.84,334
12.88,333
12.92,331
12.96,330
13.0,328
13.04,328
13.08,328
13.12,330
13.16,336
13.2,340
13.24,341
13.28,341
13.32,339
13.36,338
13.4,340
13.44,342
13.48,345
13.52,347
13.56,349
13.6,350
13.64,351
13.68,352
13.72,352
13.76,354
13.8,354
13.84,355
13.88,355
13.92,355
13.96,359
14.0,366
14.04,365
14.08,358
14.12,353
14.16,352
14.2,351
14.24,353
14.28,354
14.32,352
14.36,349
14.4,347
14.44,344
14.48,342
14.52,344
14.56,352
14.6,356
14.64,355
14.68,356
14.72,350
14.76,350
14.8,354
14.84,357
14.88,351
14.92,345
14.96,344
15.0,345
15.04,350
15.08,358
15.12,356
15.16,354
15.2,352
15.24,353
15.28,356
15.32,356
15.36,354
15.4,351
15.44,350
15.48,351
15.52,353
15.56,354
15.6,354
15.64,354
15.68,356
15.72,357
15.76,358
15.8,357
15.84,352
15.88,348
15.92,347
15.96,346
16.0,346
16.04,344
16.08,344
16.12,344
16.16,343
16.2,342
16.24,342
16.28,341
16.32,340
16.36,340
16.4,339
16.44,339
16.48,339
16.52,339
16.56,339
16.6,339
16.64,338
16.68,338
16.72,338
16.76,338
16.8,337
16.84,336
16.88,335
16.92,335
16.96,335
17.0,334
17.04,334
17.08,334
17.12,334
17.16,333
17.2,333
17.24,332
17.28,332
17.32,331
17.36,331
17.4,331
17.44,330
17.48,330
17.52,331
17.56,331
17.6,331
17.64,331
17.68,332
17.72,334
17.76,340
17.8,349
17.84,350
17.88,348
17.92,345
17.96,340
18.0,339
18.04,340
18.08,341
18.12,343
18.16,347
18.2,351
18.24,351
18.28,348
18.32,349
18.36,348
18.4,348
18.44,348
18.48,347
18.52,348
18.56,349
18.6,348
18.64,346
18.68,345
18.72,345
18.76,348
18.8,351
18.84,354
18.88,356
18.92,357
18.96,356
19.0,353
19.04,349
19.08,350
19.12,353
19.16,353
19.2,352
19.24,353
19.28,351
19.32,344
19.36,337
19.4,332
19.44,330
19.48,332
19.52,330
19.56,329
19.6,331
19.64,331
19.68,330
19.72,330
19.76,335
19.8,341
19.84,345
19.88,347
19.92,350
19.96,353
20.0,355
20.04,359
20.08,359
20.12,360
20.16,363
20.2,363
20.24,364
20.28,364
20.32,364
20.36,361
20.4,357
20.44,355
20.48,357
20.52,362
20.56,363
20.6,361
20.64,358
20.68,359
20.72,361
20.76,360
20.8,360
20.84,363
20.88,367
20.92,366
20.96,359
21.0,356
21.04,356
21.08,356
21.12,356
21.16,353
21.2,353
21.24,352
21.28,351
21.32,350
21.36,350
21.4,350
21.44,350
21.48,350
21.52,349
21.56,349
21.6,349
21.64,349
21.68,349
21.72,349
21.76,348
21.8,348
21.84,348
21.88,347
21.92,347
21.96,347
22.0,346
22.04,346
22.08,346
22.12,345
22.16,345
22.2,345
22.24,344
22.28,343
22.32,344
22.36,342
22.4,340
22.44,339
22.48,337
22.52,336
22.56,336
22.6,337
22.64,337
22.68,339
22.72,343
22.76,346
22.8,346
22.84,347
22.88,347
22.92,347
22.96,347
23.0,345
23.04,345
23.08,347
23.12,350
23.16,351
23.2,352
23.24,354
23.28,356
23.32,366
23.36,364
23.4,359
23.44,356
23.48,354
23.52,356
23.56,359
23.6,360
23.64,359
23.68,359
23.72,360
23.76,360
23.8,358
23.84,356
23.88,357
23.92,358
23.96,359
24.0,361
24.04,357
24.08,355
24.12,356
24.16,359
24.2,358
24.24,354
24.28,350
24.32,349
24.36,346
24.4,343
24.44,341
24.48,341
24.52,342
24.56,344
24.6,345
24.64,347
24.68,350
24.72,357
24.76,349
24.8,345
24.84,347
24.88,350
24.92,356
24.96,360
25.0,359
25.04,361
25.08,363
25.12,364
25.16,365
25.2,365
25.24,362
25.28,359
25.32,360
25.36,361
25.4,360
25.44,361
25.48,365
25.52,364
25.56,358
25.6,356
25.64,357
25.68,362
25.72,363
25.76,362
25.8,361
25.84,362
25.88,366
25.92,367
25.96,369
26.0,369
26.04,369
26.08,369
26.12,369
26.16,367
26.2,366
26.24,368
26.28,370
26.32,370
26.36,370
26.4,369
26.44,368
26.48,366
26.52,366
26.56,365
26.6,363
26.64,357
26.68,351
26.72,349
26.76,351
26.8,353
26.84,350
26.88,351
26.92,351
26.96,351
27.0,354
27.04,356
27.08,355
27.12,357
27.16,362
27.2,368
27.24,371
27.28,373
27.32,372
27.36,370
27.4,373
27.44,376
27.48,376
27.52,372
27.56,367
27.6,363
27.64,362
27.68,362
27.72,361
27.76,359
27.8,359
27.84,359
27.88,357
27.92,357
27.96,356
28.0,355
28.04,355
28.08,354
28.12,353
28.16,352
28.2,352
28.24,351
28.28,350
28.32,350
28.36,349
28.4,348
28.44,348
28.48,348
28.52,349
28.56,351
28.6,351
28.64,350
28.68,349
28.72,349
28.76,348
28.8,348
28.84,350
28.88,349
28.92,348
28.96,346
29.0,344
29.04,342
29.08,339
29.12,337
29.16,336
29.2,335
29.24,335
29.28,333
29.32,332
29.36,332
29.4,331
29.44,329
29.48,327
29.52,327
29.56,326
29.6,328
29.64,327
29.68,328
29.72,328
29.76,329
29.8,329
29.84,329
29.88,329
29.92,329
29.96,329
30.0,330
30.04,331
30.08,333
30.12,340
30.16,357
30.2,362
30.24,359
30.28,351
30.32,349
30.36,351
30.4,359
30.44,360
30.48,357
30.52,357
30.56,361
30.6,367
30.64,364
30.68,359
30.72,353
30.76,350
30.8,351
30.84,354
30.88,356
30.92,361
30.96,360
31.0,360
31.04,362
31.08,361
31.12,360
31.16,359
31.2,361
31.24,364
31.28,364
31.32,362
31.36,361
31.4,359
31.44,356
31.48,355
31.52,353
31.56,352
31.6,355
31.64,358
31.68,360
31.72,362
31.76,369
31.8,376
31.84,378
31.88,376
31.92,373
31.96,371
32.0,370
32.04,368
32.08,367
32.12,368
32.16,368
32.2,365
32.24,361
32.28,360
32.32,359
32.36,360
32.4,361
32.44,359
32.48,358
32.52,363
32.56,373
32.6,369
32.64,363
32.68,360
32.72,359
